,gene,Nmean,NSD,Cmean,CSD,methelation
10991,PHF21B---Cluster1,0.01324757577823565,0.0015565020024206348,0.03364459152742035,0.03500887552161972,Up
10992,PHF21B---Cluster2,0.033746008037491323,0.0061051993744286924,0.05582526585706933,0.03935618086348226,Up
10993,PHF3,0.933128381045583,0.016068946689840796,0.8993713816428545,0.035403366728275015,Down
10994,PHF6---Cluster1,0.42379611625992974,0.022263630331637814,0.2573179609836009,0.13228991841543006,Down
10995,PHF8---Cluster1,0.652509790809886,0.01875038359819141,0.4382724446638636,0.1500600842724696,Down
10996,PHGDH---Cluster1,0.11995937336245888,0.01411464934558992,0.07036129396874152,0.0635335909008905,Down
10997,PHGDH---Cluster2,0.018708091581178025,0.0068899932301060545,0.017562274213934533,0.007010764284988184,Down
10998,PHIP---Cluster1,0.01404585706303775,0.001209345767423939,0.019257496746801817,0.0070832516085983874,Up
10999,PHIP---Cluster2,0.009809568075856612,0.002431040643820149,0.015091522764843409,0.0044215262921052925,Up
11000,PHKA1---Cluster1,0.5783749931582963,0.035709216282916234,0.3277820142443888,0.16682755178475064,Down
11001,PHKA2---Cluster1,0.4094237942166312,0.060203465066550714,0.24532013380852774,0.12856395183113334,Down
11002,PHKB---Cluster1,0.0038294159060730717,0.0006134884505551014,0.008628864188439396,0.004128110923404665,Up
11003,PHKB---Cluster2,0.013677424778547687,0.0014724799034508268,0.019271774295079282,0.0050487868346915385,Up
11004,PHKG1---Cluster1,0.08036401173114785,0.024848035798275027,0.14654010474046605,0.10442015162987713,Up
