['NAIP' 0.00010485941822567505]
['IGKV1-5' 0.00010484504671394935]
['NOTCH1' 0.0001048367112252291]
['PLVAP' 0.00010478865294829434]
['ARRDC5' 0.00010475159913383513]
['ZNF513' 0.00010468621693293736]
['PABPC1' 0.00010466621452208417]
['EDN2' 0.000104656702914501]
['WDR85' 0.00010455936884480665]
['ANKFY1' 0.00010455458165041422]
['FOSB' 0.00010449239570173497]
['GPR85' 0.0001044415054499217]
['PAK2' 0.00010443069861206054]
['CLEC4D' 0.00010439706225532188]
['SESN2' 0.00010435451169818823]
['CD55' 0.00010430336486782258]
['GPR64' 0.00010411104646700442]
['TMEM22' 0.00010409799171266823]
['LOC91948' 0.00010398558653716632]
['RBM39' 0.00010395743179391015]
['C9orf40' 0.00010394681396540328]
['ACVR1' 0.0001039370471340613]
['MTF1' 0.00010387842561526228]
['TNFRSF1B' 0.00010382700857814424]
['PRSS12' 0.00010370105769895286]
['PDZRN3' 0.00010367015951107353]
['TA-NFKBH' 0.00010366615939140678]
