['LAIR2' 0.0001582154820788207]
['ZNF342' 0.00015821246100210273]
['C9orf103' 0.00015819555254171784]
['DHFRL1' 0.00015797553946667666]
['GOT2' 0.00015795648742054994]
['UBA52' 0.00015790647179664418]
['TCHP' 0.00015783207420686066]
['RND3' 0.00015778212181284527]
['RPS15A' 0.00015766310331420569]
['KLF14' 0.00015758317059972116]
['ANKRD46' 0.00015757494655811992]
['ABL1' 0.00015755839878445316]
['SOHLH2' 0.0001574795935858524]
['POLG2' 0.0001574738772986186]
['NCBP1' 0.0001574644758692397]
['DDX6' 0.000157436757467581]
['CNNM2' 0.00015740989681562934]
['C19orf18' 0.0001573287572779893]
['OLFM2' 0.0001572990125411896]
['MAPRE3' 0.00015729510104859552]
['LTBP1' 0.00015728098379013634]
['SULT1E1' 0.0001572324170037602]
['ODF1' 0.00015722601277916263]
['TUBGCP5' 0.00015717313370197593]
['CARD14' 0.0001571449984846888]
['MRPL48' 0.00015710131002674176]
['AGXT2L1' 0.00015707961286753473]
['IFIH1' 0.0001569867385634311]
['SLC35B1' 0.00015695893421532783]
['RBM13' 0.0001568946717540838]
['SPCS1' 0.00015683963917630133]
['PCBP1' 0.00015661110585453471]
['POLR1B' 0.00015657327495356935]
['ACAT1' 0.00015654480362484302]
['SUMF2' 0.00015653343363647296]
['ATP6V0E2' 0.00015643136860424072]
['CITED2' 0.00015630219380042401]
['PEBP1' 0.00015629091515534827]
['FAM114A1' 0.0001562828478004164]
['BRD9' 0.0001562264878781329]
['PRKACA' 0.00015620415462554486]
['HS3ST5' 0.0001559794288062542]
['UBE2V2' 0.00015592986984302017]
['KRAS' 0.00015588982526774735]
['LTBP4' 0.00015583332648849658]
['GPAM' 0.00015580146899112584]
['SCRN1' 0.00015579979738881655]
['G3BP2' 0.00015578514356213386]
['CARS2' 0.00015566269592924654]
['C9orf58' 0.00015562013786765913]
['EXOD1' 0.00015552105734241802]
['PSMC1' 0.00015550738200905694]
['FLJ43826' 0.00015548037800751545]
['C3' 0.00015546811901972086]
['CCNH' 0.0001554504570316491]
['ISCU' 0.00015533112187451204]
['ZNF182' 0.0001553213629304118]
['DUSP10' 0.0001552891026660518]
['PTCD2' 0.00015527127962911499]
['RAGE' 0.00015507656602355504]
['RAG1AP1' 0.0001550520040124562]
['XAF1' 0.00015504838330423264]
['RRP1B' 0.00015494819442943294]
['RP11-78J21.1' 0.0001546067639875028]
['IFI35' 0.00015456342270357603]
['PPT2' 0.00015454614291287439]
